Date,Region_Name,Area_Code,Index_SA
1995-01-01,England,E92000001,17.7
1995-01-01,Wales,W92000004,20.1
1995-01-01,London,E12000007,13.9
1995-01-01,East of England,E12000006,16.6
1995-01-01,North West,E12000002,21
1995-01-01,South East,E12000008,16.8
1995-01-01,West Midlands Region,E12000005,19.7
1995-01-01,South West,E12000009,17.1
1995-01-01,East Midlands,E12000004,18.9
1995-01-01,Yorkshire and The Humber,E12000003,22.4
1995-01-01,North East,E12000001,26.9
1995-01-01,England and Wales,K04000001,17.8
1995-02-01,England,E92000001,17.8
1995-02-01,Wales,W92000004,20
1995-02-01,South East,E12000008,16.8
1995-02-01,Yorkshire and The Humber,E12000003,22.3
1995-02-01,East Midlands,E12000004,19.1
1995-02-01,East of England,E12000006,16.6
1995-02-01,North West,E12000002,21
1995-02-01,South West,E12000009,17.1
1995-02-01,North East,E12000001,27.2
1995-02-01,London,E12000007,13.9
1995-02-01,West Midlands Region,E12000005,20.1
1995-02-01,England and Wales,K04000001,17.8
1995-03-01,Wales,W92000004,19.8
1995-03-01,England,E92000001,17.7
1995-03-01,North East,E12000001,26.8
1995-03-01,West Midlands Region,E12000005,20.1
1995-03-01,East of England,E12000006,16.6
1995-03-01,Yorkshire and The Humber,E12000003,22.5
1995-03-01,East Midlands,E12000004,18.8
1995-03-01,London,E12000007,14
1995-03-01,South West,E12000009,16.9
1995-03-01,North West,E12000002,21.1
1995-03-01,South East,E12000008,16.9
1995-03-01,England and Wales,K04000001,17.8
1995-04-01,England,E92000001,17.6
1995-04-01,Wales,W92000004,19.6
1995-04-01,London,E12000007,14
1995-04-01,East of England,E12000006,16.5
1995-04-01,Yorkshire and The Humber,E12000003,22.4
1995-04-01,South West,E12000009,17
1995-04-01,South East,E12000008,16.8
1995-04-01,North West,E12000002,20.7
1995-04-01,North East,E12000001,26.5
1995-04-01,East Midlands,E12000004,18.7
1995-04-01,West Midlands Region,E12000005,20
1995-04-01,England and Wales,K04000001,17.7
1995-05-01,England,E92000001,17.6
1995-05-01,Wales,W92000004,19.7
1995-05-01,South East,E12000008,16.8
1995-05-01,Yorkshire and The Humber,E12000003,21.9
1995-05-01,London,E12000007,14.1
1995-05-01,South West,E12000009,17
1995-05-01,North East,E12000001,26.8
1995-05-01,West Midlands Region,E12000005,20.1
1995-05-01,East of England,E12000006,16.4
1995-05-01,East Midlands,E12000004,18.7
1995-05-01,North West,E12000002,20.6
1995-05-01,England and Wales,K04000001,17.7
1995-06-01,England,E92000001,17.5
1995-06-01,Wales,W92000004,20
1995-06-01,North East,E12000001,26.2
1995-06-01,South West,E12000009,16.9
1995-06-01,North West,E12000002,20.6
1995-06-01,South East,E12000008,16.9
1995-06-01,West Midlands Region,E12000005,20
1995-06-01,Yorkshire and The Humber,E12000003,22.1
1995-06-01,East Midlands,E12000004,18.6
1995-06-01,London,E12000007,14.1
1995-06-01,East of England,E12000006,16.3
1995-06-01,England and Wales,K04000001,17.7
1995-07-01,England,E92000001,17.5
1995-07-01,Wales,W92000004,20
1995-07-01,South East,E12000008,16.7
1995-07-01,North East,E12000001,26.8
1995-07-01,North West,E12000002,20.5
1995-07-01,London,E12000007,14
1995-07-01,East Midlands,E12000004,18.5
1995-07-01,East of England,E12000006,16.4
1995-07-01,West Midlands Region,E12000005,19.8
1995-07-01,South West,E12000009,16.7
1995-07-01,Yorkshire and The Humber,E12000003,22
1995-07-01,England and Wales,K04000001,17.6
1995-08-01,England,E92000001,17.3
1995-08-01,Wales,W92000004,19.9
1995-08-01,East of England,E12000006,16.2
1995-08-01,East Midlands,E12000004,18.4
1995-08-01,West Midlands Region,E12000005,19.6
1995-08-01,South West,E12000009,16.7
1995-08-01,South East,E12000008,16.5
1995-08-01,Yorkshire and The Humber,E12000003,21.9
1995-08-01,North West,E12000002,20.4
1995-08-01,North East,E12000001,25.9
1995-08-01,London,E12000007,14
1995-08-01,England and Wales,K04000001,17.5
1995-09-01,England,E92000001,17.4
1995-09-01,Wales,W92000004,20
1995-09-01,London,E12000007,13.9
1995-09-01,South West,E12000009,16.7
1995-09-01,North West,E12000002,20.4
